no,max_deviation,K,useful_method,deviation,algorithm,COUNT(sex = 1),,predicate_kind,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,Categorical,0.13964279199999996,0.012378208000000002,0.15202099999999996
1,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,Categorical,0.12504291699999992,0.010478041000000049,0.13552095799999997
2,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,Categorical,0.12476604199999985,0.010592667000000056,0.1353587089999999
3,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,Categorical,0.12401212500000014,0.027064874999999988,0.15107700000000013
4,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,Categorical,0.12612433299999992,0.010611499999999996,0.13673583299999992
0,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,Numerical,0.13378804200000016,0.03570204099999996,0.16949008300000012
1,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,Numerical,0.13518995799999978,0.038389500000000076,0.17357945799999985
2,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,Numerical,0.13456541600000005,0.03237349999999983,0.16693891599999988
3,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,Numerical,0.1347416250000002,0.033218457999999895,0.1679600830000001
4,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,Numerical,0.13451466699999992,0.032334000000000085,0.166848667
