no,max_deviation,K,useful_method,deviation,algorithm,COUNT(Gender = Female),,,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,KENDALL_DISTANCE,0.2,RefinementMethod.MILP_OPT,4,,85,0.12357204099999997,0.20800025,0.33157229099999996
1,0.5,10,KENDALL_DISTANCE,0.2,RefinementMethod.MILP_OPT,4,,85,0.09207995899999988,0.13810195800000002,0.2301819169999999
2,0.5,10,KENDALL_DISTANCE,0.2,RefinementMethod.MILP_OPT,4,,85,0.094514333,0.1285952079999999,0.2231095409999999
3,0.5,10,KENDALL_DISTANCE,0.2,RefinementMethod.MILP_OPT,4,,85,0.09498424999999999,0.12911620899999998,0.22410045899999997
4,0.5,10,KENDALL_DISTANCE,0.2,RefinementMethod.MILP_OPT,4,,85,0.09764333299999994,0.12914712500000003,0.22679045799999997
0,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,85,0.050667165999999986,0.048202084000000145,0.09886925000000013
1,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,85,0.05033875000000032,0.0481685409999999,0.09850729100000022
2,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,85,0.05032329199999985,0.04765816700000025,0.0979814590000001
3,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,85,0.04993016699999986,0.04960720799999985,0.0995373749999997
4,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,85,0.05044787500000014,0.05330937499999999,0.10375725000000013
0,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,85,0.09404079199999993,0.06865045800000003,0.16269124999999995
1,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,85,0.09436704200000001,0.07000137499999992,0.16436841699999993
2,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,85,0.09410600000000002,0.0874745830000001,0.18158058300000013
3,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,85,0.09495645799999997,0.0693879169999998,0.16434437499999976
4,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,85,0.09570129200000022,0.06996699999999967,0.16566829199999988
