no,max_deviation,K,useful_method,deviation,algorithm,COUNT(o.ORDERPRIORITY = 5-LOW),COUNT(o.ORDERPRIORITY = 3-MEDIUM),COUNT(o.ORDERPRIORITY = 5-LOW),COUNT(o.ORDERPRIORITY = 3-MEDIUM),constraints_bounds,,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,MAX_ORIGINAL,0.45,RefinementMethod.MILP_OPT,241642,239090,241642,239090,LowerBound,,15.018269375000001,0.010741874999999013,15.02901125
1,0.5,10,MAX_ORIGINAL,0.45,RefinementMethod.MILP_OPT,241642,239090,241642,239090,LowerBound,,15.066158708999996,0.007210749999998711,15.073369458999995
2,0.5,10,MAX_ORIGINAL,0.45,RefinementMethod.MILP_OPT,241642,239090,241642,239090,LowerBound,,14.956368500000004,0.00690708400000517,14.963275584000009
3,0.5,10,MAX_ORIGINAL,0.45,RefinementMethod.MILP_OPT,241642,239090,241642,239090,LowerBound,,14.955907708000012,0.007848999999993111,14.963756708000005
4,0.5,10,MAX_ORIGINAL,0.45,RefinementMethod.MILP_OPT,241642,239090,241642,239090,LowerBound,,15.009029958,0.008556333999990784,15.01758629199999
5,0.5,10,MAX_ORIGINAL,0.45,RefinementMethod.MILP_OPT,241642,239090,241642,239090,LowerBound,,14.996812333999998,0.007609166000008827,15.004421500000007
6,0.5,10,MAX_ORIGINAL,0.45,RefinementMethod.MILP_OPT,241642,239090,241642,239090,LowerBound,,14.922149791999999,0.008139999999997372,14.930289791999996
7,0.5,10,MAX_ORIGINAL,0.45,RefinementMethod.MILP_OPT,241642,239090,241642,239090,LowerBound,,14.946564749999993,0.013501708000006829,14.960066458
8,0.5,10,MAX_ORIGINAL,0.45,RefinementMethod.MILP_OPT,241642,239090,241642,239090,LowerBound,,14.927857499999988,0.007308750000021291,14.935166250000009
9,0.5,10,MAX_ORIGINAL,0.45,RefinementMethod.MILP_OPT,241642,239090,241642,239090,LowerBound,,14.933766875000032,0.005557957999997143,14.939324833000029
0,0.5,10,MAX_ORIGINAL,0.5,RefinementMethod.MILP_OPT,241642,239090,241642,239090,Combined,,14.930753959000015,0.007724041000017223,14.938478000000032
1,0.5,10,MAX_ORIGINAL,0.5,RefinementMethod.MILP_OPT,241642,239090,241642,239090,Combined,,14.950593167000022,0.027832124999974894,14.978425291999997
2,0.5,10,MAX_ORIGINAL,0.5,RefinementMethod.MILP_OPT,241642,239090,241642,239090,Combined,,14.920720834000008,0.0099571250000281,14.930677959000036
3,0.5,10,MAX_ORIGINAL,0.5,RefinementMethod.MILP_OPT,241642,239090,241642,239090,Combined,,14.95587812499997,0.007201666000014484,14.963079790999984
4,0.5,10,MAX_ORIGINAL,0.5,RefinementMethod.MILP_OPT,241642,239090,241642,239090,Combined,,14.936499292000008,0.007893582999997761,14.944392875000005
5,0.5,10,MAX_ORIGINAL,0.5,RefinementMethod.MILP_OPT,241642,239090,241642,239090,Combined,,14.934334916000012,0.0074047499999778665,14.94173966599999
6,0.5,10,MAX_ORIGINAL,0.5,RefinementMethod.MILP_OPT,241642,239090,241642,239090,Combined,,14.974261334000005,0.007850582999992639,14.982111916999997
7,0.5,10,MAX_ORIGINAL,0.5,RefinementMethod.MILP_OPT,241642,239090,241642,239090,Combined,,14.960223583000015,0.008148624999989806,14.968372208000005
8,0.5,10,MAX_ORIGINAL,0.5,RefinementMethod.MILP_OPT,241642,239090,241642,239090,Combined,,14.954510083000002,0.011547292000045672,14.966057375000048
9,0.5,10,MAX_ORIGINAL,0.5,RefinementMethod.MILP_OPT,241642,239090,241642,239090,Combined,,14.955227250000007,0.009105999999974301,14.964333249999981
