no,max_deviation,K,useful_method,deviation,algorithm,COUNT(Gender = Female),COUNT(Gender = Male),COUNT(Gender = Female),COUNT(Gender = Male),constraints_bounds,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,QUERY_DISTANCE,0.2,RefinementMethod.MILP_OPT,3,7,3,7,LowerBound,0.10694937499999924,0.20009891699999827,0.3070482919999975
1,0.5,10,QUERY_DISTANCE,0.2,RefinementMethod.MILP_OPT,3,7,3,7,LowerBound,0.10816154199999772,0.2062182910000061,0.3143798330000038
2,0.5,10,QUERY_DISTANCE,0.2,RefinementMethod.MILP_OPT,3,7,3,7,LowerBound,0.10712258299999888,0.20620449999999835,0.31332708299999723
3,0.5,10,QUERY_DISTANCE,0.2,RefinementMethod.MILP_OPT,3,7,3,7,LowerBound,0.10873383399999881,0.2006330000000034,0.3093668340000022
4,0.5,10,QUERY_DISTANCE,0.2,RefinementMethod.MILP_OPT,3,7,3,7,LowerBound,0.10639533299999471,0.2018730000000062,0.3082683330000009
5,0.5,10,QUERY_DISTANCE,0.2,RefinementMethod.MILP_OPT,3,7,3,7,LowerBound,0.10896412499999997,0.20144266599999838,0.31040679099999835
6,0.5,10,QUERY_DISTANCE,0.2,RefinementMethod.MILP_OPT,3,7,3,7,LowerBound,0.10757916600000073,0.1993301669999994,0.3069093330000001
7,0.5,10,QUERY_DISTANCE,0.2,RefinementMethod.MILP_OPT,3,7,3,7,LowerBound,0.12394199999999955,0.20810054200000394,0.3320425420000035
8,0.5,10,QUERY_DISTANCE,0.2,RefinementMethod.MILP_OPT,3,7,3,7,LowerBound,0.10773712500000698,0.20635562499999338,0.31409275000000036
9,0.5,10,QUERY_DISTANCE,0.2,RefinementMethod.MILP_OPT,3,7,3,7,LowerBound,0.11004041700000045,0.20764075000000304,0.3176811670000035
0,0.5,10,QUERY_DISTANCE,0.2,RefinementMethod.MILP_OPT,3,7,3,7,Combined,0.10829687500000063,0.44326841699999875,0.5515652919999994
1,0.5,10,QUERY_DISTANCE,0.2,RefinementMethod.MILP_OPT,3,7,3,7,Combined,0.10819854100000015,0.4321866670000034,0.5403852080000036
2,0.5,10,QUERY_DISTANCE,0.2,RefinementMethod.MILP_OPT,3,7,3,7,Combined,0.10575683300000094,0.4535063339999965,0.5592631669999975
3,0.5,10,QUERY_DISTANCE,0.2,RefinementMethod.MILP_OPT,3,7,3,7,Combined,0.10896237499999728,0.4770367919999998,0.5859991669999971
4,0.5,10,QUERY_DISTANCE,0.2,RefinementMethod.MILP_OPT,3,7,3,7,Combined,0.10676091699999546,0.43238937499999963,0.5391502919999951
5,0.5,10,QUERY_DISTANCE,0.2,RefinementMethod.MILP_OPT,3,7,3,7,Combined,0.1099611249999981,0.4430501249999992,0.5530112499999973
6,0.5,10,QUERY_DISTANCE,0.2,RefinementMethod.MILP_OPT,3,7,3,7,Combined,0.10917241699999636,0.4377615410000004,0.5469339579999968
7,0.5,10,QUERY_DISTANCE,0.2,RefinementMethod.MILP_OPT,3,7,3,7,Combined,0.10829758399999889,0.4423016249999989,0.5505992089999978
8,0.5,10,QUERY_DISTANCE,0.2,RefinementMethod.MILP_OPT,3,7,3,7,Combined,0.10840037499999511,0.467331417000004,0.5757317919999991
9,0.5,10,QUERY_DISTANCE,0.2,RefinementMethod.MILP_OPT,3,7,3,7,Combined,0.10614141599999982,0.4315419590000005,0.5376833750000003
