no,max_deviation,K,useful_method,deviation,algorithm,COUNT(SEX = 1),COUNT(SEX = 1),COUNT(SEX = 2),COUNT(SEX = 1),COUNT(SEX = 2),COUNT(RACEV1X = 4),COUNT(SEX = 1),COUNT(SEX = 2),COUNT(RACEV1X = 4),COUNT(RACEV1X = 2),COUNT(SEX = 1),COUNT(SEX = 2),COUNT(RACEV1X = 4),COUNT(RACEV1X = 2),COUNT(RACEV1X = 1),number_of_constraints,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,1,34.84273712500001,16.60163483299999,51.444371958000005
1,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,1,33.74048254200005,16.289470583000025,50.02995312500008
2,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,1,33.43199549999997,16.200684916,49.63268041599997
3,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,1,33.625561125000104,16.288884833999873,49.91444595899998
4,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,1,33.70222149999995,16.21306166699992,49.91528316699987
5,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,1,34.01785920899988,16.291605375000017,50.3094645839999
6,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,1,34.101276708000114,16.238245374999906,50.33952208300002
7,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,1,34.14317283299988,16.281506084000284,50.424678917000165
8,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,1,34.023745082999994,16.33421862499972,50.357963707999716
9,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,1,33.63008541599993,16.41996508400007,50.0500505
0,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,2,34.0718406660003,17.72333420899986,51.79517487500016
1,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,2,34.222795832999964,17.780210167000405,52.00300600000037
2,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,2,34.5977674159999,17.875425708999956,52.47319312499985
3,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,2,34.47549458399999,17.7154461250002,52.19094070900019
4,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,2,33.580054375000145,17.826698667000528,51.40675304200067
5,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,2,34.301535124999646,17.767986042000302,52.06952116699995
6,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,2,34.325851125000554,17.863029041999653,52.18888016700021
7,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,2,33.62816174999989,17.74946191699928,51.37762366699917
8,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,2,33.85663825000029,17.803372166999907,51.660010417000194
9,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,2,34.13162708300024,17.807413416999225,51.939040499999464
0,0.5,10,KENDALL_DISTANCE,0.3333333333333333,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,3,33.962843874999635,17.436870208000073,51.39971408299971
1,0.5,10,KENDALL_DISTANCE,0.3333333333333333,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,3,35.213132249999944,17.472216832999948,52.68534908299989
2,0.5,10,KENDALL_DISTANCE,0.3333333333333333,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,3,34.359946958000364,17.47009799999978,51.830044958000144
3,0.5,10,KENDALL_DISTANCE,0.3333333333333333,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,3,34.03741545799949,17.47827470900029,51.515690166999775
4,0.5,10,KENDALL_DISTANCE,0.3333333333333333,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,3,34.69142591700074,17.464720541000133,52.156146458000876
5,0.5,10,KENDALL_DISTANCE,0.3333333333333333,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,3,34.27296920800018,17.42728958400039,51.70025879200057
6,0.5,10,KENDALL_DISTANCE,0.3333333333333333,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,3,34.331791166000585,17.549053749999985,51.88084491600057
7,0.5,10,KENDALL_DISTANCE,0.3333333333333333,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,3,34.49949216699861,17.55521170800057,52.05470387499918
8,0.5,10,KENDALL_DISTANCE,0.3333333333333333,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,3,34.24188054200022,17.471699499999886,51.7135800420001
9,0.5,10,KENDALL_DISTANCE,0.3333333333333333,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,3,34.26132091599902,17.57655425000121,51.83787516600023
0,0.5,10,KENDALL_DISTANCE,0.25,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,4,34.3259199160002,17.713542041999972,52.039461958000174
1,0.5,10,KENDALL_DISTANCE,0.25,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,4,34.52686395800083,17.635095542000272,52.1619595000011
2,0.5,10,KENDALL_DISTANCE,0.25,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,4,34.47066295799959,17.610258499998963,52.080921457998556
3,0.5,10,KENDALL_DISTANCE,0.25,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,4,34.95774341700053,17.669803041000705,52.627546458001234
4,0.5,10,KENDALL_DISTANCE,0.25,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,4,34.65571745800116,17.63434908399904,52.290066542000204
5,0.5,10,KENDALL_DISTANCE,0.25,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,4,35.124174541000684,17.668633875000523,52.79280841600121
6,0.5,10,KENDALL_DISTANCE,0.25,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,4,34.623911541999405,17.678865167001277,52.30277670900068
7,0.5,10,KENDALL_DISTANCE,0.25,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,4,34.49054691600031,17.688261999999668,52.17880891599998
8,0.5,10,KENDALL_DISTANCE,0.25,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,4,34.67370220900011,17.680343165999147,52.35404537499926
9,0.5,10,KENDALL_DISTANCE,0.25,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,4,34.68890270799966,17.738864124999964,52.42776683299962
0,0.5,10,KENDALL_DISTANCE,0.2,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,5,34.732998375000534,17.649339541998415,52.38233791699895
1,0.5,10,KENDALL_DISTANCE,0.2,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,5,34.52070391599955,17.574886624999635,52.09559054099918
2,0.5,10,KENDALL_DISTANCE,0.2,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,5,35.15321799999947,17.677227791000405,52.830445790999875
3,0.5,10,KENDALL_DISTANCE,0.2,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,5,34.409753875001115,17.531769749999512,51.94152362500063
4,0.5,10,KENDALL_DISTANCE,0.2,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,5,34.23832366699935,17.55465883299985,51.7929824999992
5,0.5,10,KENDALL_DISTANCE,0.2,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,5,34.519735791998755,17.53014554100082,52.049881332999576
6,0.5,10,KENDALL_DISTANCE,0.2,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,5,34.75001104100011,17.672302709001087,52.422313750001194
7,0.5,10,KENDALL_DISTANCE,0.2,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,5,34.81909383300081,17.545690124999965,52.36478395800077
8,0.5,10,KENDALL_DISTANCE,0.2,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,5,34.37518020900097,17.555799832998673,51.930980041999646
9,0.5,10,KENDALL_DISTANCE,0.2,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,5,34.697840584000005,17.667947457999617,52.36578804199962
